SMILES,Inhibition_A,Inhibition_B,Inhibition Mean
C1COC2=C(O1)C=CC(=C2)C(=O)COC(=O)C3=CC=CS3,8.3632,6.81568,7.589440000000001
CC(C)NC(=O)COC(=O)C1=CC(=C(C=C1Cl)F)F,5.91663,11.909,8.912815
CC1(CCC(=O)N1CC2=CC3=C(C=C2)OCO3)C(=O)NC4CCCCC4,1.98875,7.64326,4.816005
CCN1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)NC(=O)C4=CC=C(C=C4)OCC(C)C,4.05395,4.22503,4.13949
C1CCN(CC1)C2=C(C(=O)NN=C2)Cl,3.17226,4.7316,3.95193
COCCSC1=NN=C(S1)NS(=O)(=O)CC2=CC=CC=C2,6.02362,-0.739176,2.6422220000000003
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C(=O)NCC3=CC=CC=C3Cl,5.77124,3.08224,4.42674
C1=CC=C2C(=C1)C3=C(O2)C(=O)N(C(=S)N3)C4=CC=C(C=C4)F,2.26978,1.28458,1.77718
COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)S(=O)(=O)NCC3=CC=CO3,-0.231054,2.59127,1.1801080000000002
C1=CC=C(C(=C1)C(=O)NCC(=O)NCCC2=C(C=C(C=C2)Cl)Cl)F,-0.449421,-1.05702,-0.7532205000000001
CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C3=NN=C(O3)SCC4=CC=CC=C4Cl,27.3663,7.0784,17.22235
C1COCCN1S(=O)(=O)C2=CC(=C(C=C2)NN=CC3=CC=CC=C3C(=O)O)[N+](=O)[O-],1.03915,1.74976,1.394455
C1CC(=N)N(C1)CC(=O)C2=CC=CS2.[Br-],-0.950252,0.0563562,-0.4469479
C1COCCN1C(=O)CSC2=NC(=C(C(=O)N2)C3=CC=CC=C3)O,-0.721296,10.2126,4.745652
CCN1CCCC1CNC(=O)C2=C(C3=C(N2)C=CC(=C3)OC)C,0.536868,-2.77303,-1.118081
CC1(CCCN(C1)C(=O)C2=CC3=C(CC(CC3=O)(C)C)N(C2=O)C4=CC=CC=C4)C,-11.9104,-12.1007,-12.00555
